,2OCJ3,diff,True
0,1.8678583966228062e-06,-4.437383966228062e-07,0
1,2.7025588789317247e-06,-6.953888789317246e-07,0
2,2.238953511743277e-06,-5.80063511743277e-07,0
3,1.214444060836282e-06,-3.043740608362818e-07,0
4,4.707299636621521e-07,-8.765396366215207e-08,0
5,1.5488286927802697e-07,-1.2751869278026953e-08,0
6,1.2097347413028487e-07,-4.871037413028486e-08,0
7,2.619735557732814e-07,-1.640720557732814e-07,1
8,5.298285358935553e-07,-3.4482953589355534e-07,1
9,7.625949848889672e-07,-4.4454398488896725e-07,0
10,7.659309789357156e-07,-2.733039789357155e-07,0
11,6.307774727280646e-07,4.6648527271935336e-08,0
12,5.743946767839418e-07,2.2094132321605825e-07,0
13,5.815912809593686e-07,2.1119271904063147e-07,0
14,5.281340153597637e-07,1.6022698464023633e-07,0
15,3.9919479379546387e-07,1.3775120620453612e-07,0
16,2.489184821439491e-07,1.363105178560509e-07,0
17,1.2425039735472456e-07,1.3280760264527544e-07,0
18,4.725019698522804e-08,1.1025380301477197e-07,1
19,1.6155777866914714e-08,8.401622213308529e-08,1
20,1.1848273958182244e-08,8.312092604181774e-08,0
21,2.6785239156212713e-08,1.0832076084378729e-07,0
22,8.464191596536898e-08,1.2960908403463101e-07,0
23,2.3698991306911808e-07,1.1018308693088195e-07,0
24,5.721098059309871e-07,7.311319406901285e-08,0
25,1.3059127610887429e-06,1.3059723891125732e-07,0
26,3.0326135186194467e-06,3.00756481380553e-07,0
27,6.466171753288638e-06,5.084382467113621e-07,0
28,1.1083166513997596e-05,8.077334860024035e-07,0
29,1.4378898975539582e-05,9.911010244604183e-07,0
30,1.3702722763491596e-05,6.025772365084044e-07,0
31,9.046158328753987e-06,8.088167124601357e-08,0
32,5.68853970634042e-06,-1.86691970634042e-06,1
33,7.033461961873538e-06,-2.348991961873539e-06,1
34,5.00302768717551e-06,-1.56205768717551e-06,1
35,2.2633383779638818e-06,-5.40158377963882e-07,0
36,7.206592379515598e-07,-2.1924237951559663e-08,0
37,2.48495100518645e-07,3.9440899481355026e-08,0
38,3.273097611989517e-07,-1.3760276119895168e-07,0
39,7.101842183122469e-07,-4.5238321831224684e-07,1
40,1.1942069477536652e-06,-7.373839477536652e-07,1
41,1.4273708528656275e-06,-6.422018528656273e-07,0
42,1.3030447760647712e-06,-1.0638477606477133e-07,0
43,1.2028561026568228e-06,3.848438973431773e-07,0
44,1.3934036963527993e-06,4.7670630364720064e-07,0
45,1.6333327268170973e-06,3.5722727318290246e-07,0
46,1.5810540397119403e-06,3.3848596028805994e-07,0
47,1.234299013208296e-06,4.407609867917037e-07,0
48,7.903490631794302e-07,5.254909368205698e-07,0
49,4.070330845174547e-07,5.053239154825452e-07,1
50,1.8221698546021084e-07,3.941880145397892e-07,1
51,1.1827808937914794e-07,2.825259106208521e-07,1
52,1.3257562582397705e-07,2.586653741760229e-07,0
53,2.1957768743008962e-07,3.0501831256991043e-07,0
54,4.6275272338376216e-07,3.0259327661623784e-07,0
55,1.0070731955746588e-06,1.6861680442534113e-07,0
56,2.2051362511344976e-06,-9.526251134497939e-09,0
57,5.0905048008054236e-06,-1.2085480080542364e-07,0
58,1.1795388255554996e-05,-3.3248825555499637e-07,0
59,2.360170576043721e-05,-6.656057604372077e-07,0
60,3.6676729303560217e-05,-5.957293035602142e-07,0
61,4.2391080658971196e-05,-2.0028065897119987e-07,0
62,3.532742829442533e-05,-3.4428294425329525e-08,0
63,1.997024401736908e-05,2.47555982630919e-07,0
64,7.089413463892449e-06,-2.0374734638924487e-06,1
65,7.940717978681115e-06,-2.2476579786811148e-06,1
66,5.146748147634311e-06,-1.2610381476343115e-06,0
67,2.143610261516882e-06,-2.941302615168822e-07,0
68,6.643790258719271e-07,1.0627097412807286e-07,0
69,2.779686144908541e-07,1.0100638550914588e-07,0
70,3.845441705479025e-07,-1.0524417054790246e-07,0
71,7.10451334516481e-07,-3.78170334516481e-07,0
72,1.0236280887090359e-06,-4.6685008870903596e-07,0
73,1.116431556911585e-06,-1.5523255691158507e-07,0
74,1.1257171479303618e-06,3.493428520696382e-07,0
75,1.4056760893953295e-06,6.476739106046705e-07,0
76,1.9679720977855243e-06,7.308679022144758e-07,0
77,2.428847615022822e-06,8.955923849771781e-07,0
78,2.4619250632729657e-06,1.2715149367270342e-06,0
79,2.0266702912896763e-06,1.7186897087103236e-06,1
80,1.3610891968403786e-06,1.9034308031596213e-06,1
81,8.192555203154368e-07,1.599304479684563e-06,1
82,5.954543928885853e-07,1.0029856071114144e-06,1
83,6.003494809056472e-07,5.062905190943527e-07,1
84,6.979352194550161e-07,3.180547805449837e-07,0
85,9.084285356108836e-07,3.535914643891165e-07,0
86,1.3545386942970363e-06,3.5576130570296363e-07,0
87,2.3379988387404763e-06,1.506911612595238e-07,0
88,4.889150881088028e-06,-2.881908810880274e-07,0
89,1.1595883528126195e-05,-1.0694835281261936e-06,0
90,2.5884938281587546e-05,-2.2635382815875485e-06,0
91,4.7193781554092433e-05,-3.230981554092435e-06,0
92,6.552603040717329e-05,-2.740530407173292e-06,0
93,6.658967932212325e-05,-4.39479322123239e-07,0
94,4.782887603482802e-05,2.142023965171977e-06,0
95,2.319828830442613e-05,2.799811695573871e-06,0
96,5.100520525758557e-06,-6.831005257585574e-07,0
97,5.52972589565287e-06,-7.797958956528699e-07,0
98,3.510078717415712e-06,-3.9830871741571215e-07,0
99,1.4330079253396637e-06,1.9622074660336317e-08,0
100,4.6220915719386426e-07,1.9320284280613576e-07,0
101,2.2883844080052148e-07,1.6087955919947855e-07,0
102,2.851612864130328e-07,6.7737135869672265e-09,0
103,4.4412025259685096e-07,-1.58518252596851e-07,0
104,5.697703643254104e-07,-1.4344436432541039e-07,0
105,6.18184774880041e-07,1.3977522511995907e-07,0
106,8.193105735756587e-07,5.076594264243413e-07,0
107,1.4076441092023118e-06,8.107358907976883e-07,0
108,2.1908460075321717e-06,1.2730539924678283e-06,0
109,2.7845672644421464e-06,2.1579127355578545e-06,1
110,2.952164031090949e-06,3.3908159689090515e-06,1
111,2.7103439860299958e-06,4.364196013970003e-06,1
112,2.3091587422887005e-06,4.2431412577112994e-06,1
113,2.0386421051519183e-06,2.930287894848082e-06,1
114,1.977772407601977e-06,1.282417592398023e-06,1
115,1.989121994500184e-06,2.0299800549981622e-07,0
116,2.0173739474872748e-06,-5.2123947487274805e-08,0
117,2.266405482579131e-06,1.667945174208688e-07,0
118,3.080032634289772e-06,2.0288736571022782e-07,0
119,4.833007430250484e-06,-1.9672743025048367e-07,0
120,9.27378085984626e-06,-9.750408598462614e-07,0
121,2.0682589373577533e-05,-2.503689373577533e-06,0
122,4.279081320067325e-05,-5.131613200673251e-06,1
123,7.091769104866572e-05,-7.787991048665712e-06,1
124,8.795234417115565e-05,-7.3747441711556475e-06,1
125,7.861126698437342e-05,-2.4687669843734234e-06,0
126,4.9734540838566e-05,2.4054591614340007e-06,0
127,2.1744172215511875e-05,3.2012277844881255e-06,1
128,3.3978015279210963e-06,-1.6919152792109653e-07,0
129,3.6516165292743735e-06,-2.5433652927437355e-07,0
130,2.26115489063094e-06,-5.2864890630939876e-08,0
131,9.502936733845431e-07,1.4259632661545703e-07,0
132,3.9311090568583385e-07,2.0259409431416615e-07,0
133,2.354233666204679e-07,1.7445963337953215e-07,0
134,2.1871798536839298e-07,7.330401463160701e-08,0
135,2.7395993732534237e-07,-4.5241937325342376e-08,0
136,3.569867248702648e-07,-6.587572487026479e-08,0
137,5.027617137892945e-07,8.534528621070549e-08,0
138,1.0065620581373322e-06,3.0966794186266773e-07,0
139,2.0524928830390774e-06,6.414871169609224e-07,0
140,3.302370301898137e-06,1.5128996981018628e-06,1
141,4.294385938955988e-06,3.294074061044012e-06,1
142,4.97809197758901e-06,5.431308022410991e-06,1
143,5.312160672236716e-06,6.507839327763284e-06,1
144,5.0828167996230346e-06,5.582083200376966e-06,1
145,4.503637715388238e-06,3.159852284611762e-06,1
146,3.8816777793255414e-06,8.350522206744582e-07,1
147,3.3197800153532843e-06,-2.8404001535328404e-07,0
148,3.0846938497683075e-06,-2.7709384976830747e-07,0
149,3.7296580277174555e-06,1.909197228254441e-08,0
150,5.435393957054995e-06,-1.9462395705499466e-07,0
151,8.293514003759393e-06,-8.301440037593925e-07,0
152,1.4942838267848255e-05,-1.806138267848254e-06,0
153,3.069950001728778e-05,-3.869400017287777e-06,1
154,5.7512708537966845e-05,-7.519708537966844e-06,1
155,8.561790386646014e-05,-1.1194603866460147e-05,1
156,9.555122473589624e-05,-1.1019324735896238e-05,1
157,7.834956534862378e-05,-6.2505653486237805e-06,1
158,4.680654305604095e-05,-1.300943056040944e-06,0
159,1.9708157126179958e-05,7.669428738200416e-07,0
160,2.6154370244425417e-06,-2.170170244425414e-07,0
161,2.9362448048246614e-06,-3.2464480482466126e-07,0
162,2.138142365243287e-06,-2.902623652432873e-07,0
163,1.282191650572071e-06,-1.8662165057207103e-07,0
164,7.181545300075391e-07,1.0267469992460963e-08,0
165,4.0748248381170813e-07,1.269485161882919e-07,0
166,3.242649074838577e-07,4.130209251614228e-08,0
167,3.817431141498168e-07,-1.2970711414981676e-07,0
168,4.983561082995877e-07,-2.0985810829958774e-07,1
169,8.43618190175035e-07,-1.729901901750351e-07,0
170,1.8242406593364201e-06,-4.7660659336420205e-08,0
171,3.668507881037336e-06,3.841621189626636e-07,0
172,6.135216173613816e-06,1.6094638263861846e-06,0
173,8.837801733746612e-06,3.680698266253387e-06,1
174,1.1337176103675247e-05,5.433123896324754e-06,1
175,1.2118055332600008e-05,5.739944667399993e-06,1
176,1.0176174109565068e-05,4.5617258904349315e-06,1
177,7.074578948821353e-06,2.520501051178648e-06,1
178,4.51837686361606e-06,8.556631363839399e-07,0
179,2.9616180042896097e-06,2.568319957103904e-07,0
180,2.594064609834698e-06,3.7553539016530175e-07,0
181,3.5699378046239302e-06,5.216321953760693e-07,0
182,5.701462722073923e-06,2.6973727792607695e-07,0
183,9.517725230928495e-06,-2.89945230928495e-07,0
184,1.8228548364536704e-05,-1.3968483645367034e-06,0
185,3.571900388029544e-05,-3.34470388029544e-06,0
186,6.039461798639854e-05,-5.547217986398537e-06,1
187,8.166248284872002e-05,-7.560682848720021e-06,1
188,8.499647225769893e-05,-8.111372257698927e-06,1
189,6.684640060656004e-05,-6.053100606560041e-06,0
190,3.9378124359279495e-05,-3.008424359279496e-06,0
191,1.6832207187139726e-05,-9.322071871397258e-07,0
192,2.660540869002098e-06,-4.070908690020982e-07,0
193,3.68290043426142e-06,-9.630004342614198e-07,1
194,3.5881200852198515e-06,-1.3819700852198515e-06,1
195,2.7005264607572285e-06,-1.1977064607572283e-06,1
196,1.600954642107641e-06,-5.53184642107641e-07,0
197,8.47756322389707e-07,-1.1202632238970697e-07,0
198,5.937406383877779e-07,-1.1205763838777784e-07,0
199,6.592678404603246e-07,-3.242998404603246e-07,1
200,9.392483857922985e-07,-5.106763857922986e-07,1
201,1.717820892840234e-06,-6.132508928402341e-07,1
202,3.683795901502292e-06,-6.440759015022918e-07,0
203,7.4560616980457875e-06,-4.158516980457868e-07,0
204,1.2721790940572812e-05,6.340090594271885e-07,0
205,1.8773364400176732e-05,1.961435599823268e-06,0
206,2.385783016289289e-05,2.071469837107111e-06,0
207,2.381631983787645e-05,1.5626801621235526e-06,0
208,1.7618662078591414e-05,1.569337921408586e-06,0
209,9.928554370821632e-06,1.6189456291783692e-06,1
210,4.708018464023359e-06,1.3812315359766402e-06,1
211,2.320592383684525e-06,1.1106376163154754e-06,0
212,1.751942149882792e-06,1.051907850117208e-06,0
213,2.4437202560356374e-06,1.092369743964363e-06,0
214,4.4565804780620235e-06,9.841195219379768e-07,0
215,8.967464007941452e-06,5.344959920585482e-07,0
216,1.8625948380592712e-05,-5.112483805927105e-07,0
217,3.502757889198135e-05,-1.4917788919813517e-06,0
218,5.554965685087433e-05,-1.623556850874332e-06,0
219,7.145744244730696e-05,-1.8741424473069638e-06,0
220,7.186309585823915e-05,-2.5716958582391533e-06,0
221,5.5760455796335904e-05,-2.636755796335903e-06,0
222,3.3296967393647415e-05,-1.7403673936474196e-06,0
223,1.479685769918162e-05,-6.186576991816205e-07,0
224,3.9553040939056845e-06,-8.659040939056844e-07,1
225,5.976551521352086e-06,-2.015181521352086e-06,1
226,6.1217784605033466e-06,-2.7951484605033465e-06,1
227,4.702632207735429e-06,-2.4676822077354288e-06,1
228,2.7812370696405893e-06,-1.3314170696405893e-06,1
229,1.3461865396540084e-06,-4.1343653965400835e-07,0
230,8.039990246836652e-07,-2.1618702468366516e-07,0
231,9.207642315809528e-07,-4.658202315809528e-07,1
232,1.512776914017754e-06,-7.837779140177541e-07,1
233,3.0990378621665265e-06,-1.1018378621665264e-06,1
234,7.068517504546115e-06,-1.5973075045461152e-06,0
235,1.4520387598020441e-05,-1.9995875980204427e-06,0
236,2.476112812218805e-05,-1.7508281221880468e-06,0
237,3.567342893814134e-05,-1.8557289381413423e-06,0
238,4.257066028646348e-05,-3.02066028646348e-06,0
239,3.948780168097877e-05,-3.218401680978771e-06,0
240,2.7329979646697085e-05,-1.3398796466970816e-06,0
241,1.4512626408360491e-05,6.379735916395091e-07,0
242,7.000159754148683e-06,1.0912202458513175e-06,0
243,3.987583528582736e-06,8.363264714172636e-07,0
244,2.8326102385591564e-06,1.0013197614408439e-06,0
245,2.744280524546917e-06,1.403529475453083e-06,0
246,4.18709103316857e-06,1.486058966831431e-06,0
247,8.455785293785365e-06,1.0730047062146336e-06,0
248,1.7670942095773208e-05,3.601579042267898e-07,0
249,3.311511016604546e-05,3.6488983395453875e-07,0
250,5.241503449950583e-05,1.7460655004941682e-06,0
251,6.755377019914202e-05,2.6631298008579805e-06,0
252,6.956646086783553e-05,1.2071391321644658e-06,0
253,5.732387948054101e-05,-8.963794805410115e-07,0
254,3.756906542862277e-05,-1.3827654286227683e-06,0
255,1.852714223540461e-05,-6.018422354046114e-07,0
256,6.027505958548775e-06,-1.4916259585487746e-06,1
257,8.642686215715467e-06,-3.1267362157154674e-06,1
258,8.155662278038036e-06,-3.868692278038037e-06,1
259,5.658419806163669e-06,-3.0401198061636688e-06,1
260,2.9677160513759643e-06,-1.4414860513759645e-06,1
261,1.291080763715762e-06,-3.9587576371576196e-07,0
262,7.508882104920506e-07,-1.870792104920507e-07,0
263,8.837700751361151e-07,-3.557790751361151e-07,0
264,1.7470272655726771e-06,-6.54367265572677e-07,1
265,4.575701989286867e-06,-1.2250919892868672e-06,0
266,1.1825679344424965e-05,-2.168249344424965e-06,0
267,2.5429489629559797e-05,-2.974489629559796e-06,0
268,4.3688103477861966e-05,-3.316803477861962e-06,1
269,6.0447730114376976e-05,-4.175830114376977e-06,1
270,6.733867941276326e-05,-5.901279412763255e-06,1
271,5.8288834515603175e-05,-5.865734515603172e-06,1
272,3.8064369871735e-05,-2.9813698717349964e-06,0
273,2.033561309298658e-05,-7.902130929865792e-07,0
274,1.1705650648809296e-05,-9.734506488092957e-07,0
275,8.219396181401171e-06,-1.027626181401171e-06,0
276,5.815208691124826e-06,2.8524130887517367e-07,0
277,4.34246776023517e-06,1.6060822397648303e-06,0
278,4.733888060779762e-06,2.0130319392202387e-06,0
279,8.446352639098449e-06,1.6217473609015505e-06,0
280,1.8141904713773317e-05,9.895952862266845e-07,0
281,3.6065834276253354e-05,1.3639657237466446e-06,0
282,5.9857773143459654e-05,3.1953268565403475e-06,0
283,8.014173036296769e-05,4.025869637032311e-06,0
284,8.680874922402192e-05,1.8514507759780882e-06,0
285,7.737937328129794e-05,-1.4515732812979453e-06,0
286,5.530183842930962e-05,-2.7530384293096195e-06,0
287,2.8751981909623163e-05,-1.5285819096231617e-06,0
288,6.5938825542818525e-06,-1.8909025542818525e-06,1
289,8.08187805419055e-06,-2.96669805419055e-06,1
290,6.3181572714645345e-06,-2.7771072714645343e-06,1
291,3.6111987068906763e-06,-1.7066987068906764e-06,1
292,1.6316704973998258e-06,-6.723404973998258e-07,0
293,6.888709302294208e-07,-1.8149293022942073e-07,0
294,4.630416822726345e-07,-1.1955668227263447e-07,0
295,7.092737778240118e-07,-2.4761477782401186e-07,0
296,1.9822715405960395e-06,-5.793415405960393e-07,0
297,6.4498904096081045e-06,-1.2409204096081054e-06,0
298,1.8532060230876965e-05,-2.2025602308769652e-06,0
299,4.214078303893675e-05,-3.7736830389367503e-06,1
300,7.220823421311759e-05,-6.1594342131175895e-06,1
301,9.394125725816379e-05,-8.936857258163785e-06,1
302,9.405049144092572e-05,-1.0541791440925715e-05,1
303,7.090488958008197e-05,-8.065489580081972e-06,1
304,4.023005103411669e-05,-3.43915103411669e-06,0
305,2.002719305224026e-05,-1.610793052240258e-06,0
306,1.1903704428724166e-05,-2.0057844287241676e-06,1
307,8.396986595470834e-06,-1.4519565954708335e-06,0
308,5.705944473740668e-06,2.072055262593321e-07,0
309,3.994401293290509e-06,1.5437787067094909e-06,0
310,4.2726495487488704e-06,2.0052804512511296e-06,0
311,8.667175646830812e-06,1.6070243531691887e-06,0
312,2.1168870239388863e-05,8.451297606111369e-07,0
313,4.51987021165784e-05,1.0900978834216013e-06,0
314,7.684115302745238e-05,2.918246972547612e-06,0
315,0.00010226451594262757,4.6894840573724275e-06,0
316,0.0001104629571739136,3.3290428260864083e-06,0
317,9.959574960593857e-05,-1.2156496059385745e-06,0
318,7.071873775258486e-05,-3.932737752584855e-06,1
319,3.490098502746739e-05,-2.4611850274673896e-06,1
320,3.569952670361101e-06,-8.056726703611011e-07,0
321,3.6352197620896727e-06,-9.351697620896726e-07,0
322,2.305363689949954e-06,-6.172236899499539e-07,0
323,1.0730456802103577e-06,-2.7139968021035773e-07,0
324,4.13165366779383e-07,-7.163936677938297e-08,0
325,1.6530186427134498e-07,-3.6558642713449924e-09,0
326,1.5738598473034198e-07,-2.075398473034198e-08,0
327,4.509601491294447e-07,-9.927514912944469e-08,0
328,1.8841768844032056e-06,-2.2514688440320568e-07,0
329,7.594003231764752e-06,-3.9519323176475106e-07,0
330,2.442283854270409e-05,-1.4490385427040888e-06,0
331,5.617295204876252e-05,-5.116652048762521e-06,1
332,9.015206732611909e-05,-1.0402567326119093e-05,1
333,0.00010321051302990069,-1.28967130299007e-05,1
334,8.556544719772439e-05,-9.925447197724392e-06,1
335,5.136923247686226e-05,-4.204832476862261e-06,0
336,2.3300234668591932e-05,-6.48934668591931e-07,0
337,9.753729812744664e-06,-1.5441981274466397e-07,0
338,5.160808651714464e-06,-4.1470865171446357e-07,0
339,3.359392471241749e-06,-1.3070247124174875e-07,0
